1,1,0,-10,180,0,76,1.2881
2,1,0,10,0,1,45,0.76271
3,1,0,-10,180,0,48,0.81356
4,0.5,180,10,0,0,57,0.9661
5,0,180,-10,180,1,67,1.1356
6,1,180,10,0,0,57,0.9661
7,0.5,180,10,0,0,75,1.2712
8,0.5,0,10,0,1,48,0.81356
9,0.5,0,-10,180,0,51,0.86441
10,1,180,-10,180,1,42,0.71186
11,0,0,-10,180,0,56,0.94915
12,0,0,-10,180,0,52,0.88136
13,1,0,10,0,1,42,0.71186
14,1,180,10,0,0,51,0.86441
15,0.5,180,10,0,0,76,1.2881
16,1,180,-10,180,1,41,0.69492
17,0,0,10,0,1,48,0.81356
18,0,180,-10,180,1,63,1.0678
19,0.5,180,-10,180,1,49,0.83051
20,0,0,-10,180,0,52,0.88136
21,1,180,-10,180,1,44,0.74576
22,1,180,-10,180,1,41,0.69492
23,1,0,-10,180,0,79,1.339
24,0,180,10,0,0,77,1.3051
25,1,180,10,0,0,57,0.9661
26,1,0,-10,180,0,52,0.88136
27,1,0,10,0,1,42,0.71186
28,0.5,180,10,0,0,53,0.89831
29,1,180,10,0,0,86,1.4576
30,1,0,10,0,1,69,1.1695
31,1,0,10,0,1,43,0.72881
32,0.5,0,-10,180,0,68,1.1525
33,0,180,10,0,0,72,1.2203
34,0.5,0,10,0,1,47,0.79661
35,0.5,180,-10,180,1,45,0.76271
36,0,180,10,0,0,63,1.0678
37,1,180,10,0,0,78,1.322
38,1,180,-10,180,1,55,0.9322
39,0.5,0,-10,180,0,83,1.4068
40,1,180,10,0,0,98,1.661
41,0.5,180,10,0,0,69,1.1695
42,1,0,10,0,1,45,0.76271
43,0,180,10,0,0,54,0.91525
44,1,180,-10,180,1,47,0.79661
45,0.5,0,10,0,1,51,0.86441
46,0.5,0,-10,180,0,60,1.0169
47,0,0,10,0,1,51,0.86441
48,0,0,10,0,1,55,0.9322
49,0,180,-10,180,1,79,1.339
50,0.5,0,10,0,1,61,1.0339
51,1,180,10,0,0,92,1.5593
52,0,180,10,0,0,78,1.322
53,0.5,180,10,0,0,72,1.2203
54,0,0,10,0,1,59,1
55,1,180,10,0,0,86,1.4576
56,0,180,-10,180,1,63,1.0678
57,1,180,10,180,1,82,1.3898
58,1,180,-10,180,1,63,1.0678
59,0.5,0,-10,180,0,88,1.4915
60,0.5,180,-10,180,1,66,1.1186
61,0.5,180,10,0,0,77,1.3051
62,0.5,180,10,0,0,69,1.1695
63,0,180,10,0,0,69,1.1695
64,0,180,10,0,0,66,1.1186
65,1,180,-10,180,1,49,0.83051
66,0.5,180,10,0,0,74,1.2542
67,0,0,10,0,1,83,1.4068
68,0.5,0,10,0,1,49,0.83051
69,0,180,-10,180,1,69,1.1695
70,0,0,10,0,1,57,0.9661
71,0.5,0,-10,180,0,65,1.1017
72,0.5,0,10,0,1,44,0.74576
73,0.5,180,-10,180,1,41,0.69492
74,0,180,-10,180,1,70,1.1864
75,1,180,-10,180,1,46,0.77966
76,1,180,-10,180,1,49,0.83051
77,0,0,10,0,1,53,0.89831
78,0.5,0,-10,180,0,41,0.69492
79,1,180,-10,180,1,41,0.69492
80,1,180,-10,180,1,46,0.77966
81,1,0,10,0,1,53,0.89831
82,0,180,10,0,0,54,0.91525
83,0,0,-10,180,0,52,0.88136
84,1,0,10,0,1,58,0.98305
85,0.5,180,-10,180,1,47,0.79661
86,1,0,10,0,1,58,0.98305
87,1,0,-10,0,1,86,1.4576
88,0,0,10,180,0,57,0.9661
89,0,0,10,180,0,45,0.76271
90,0.5,0,10,0,1,46,0.77966
91,0.5,180,-10,180,1,52,0.88136
92,0.5,0,-10,180,0,42,0.71186
93,0,0,-10,180,0,58,0.98305
94,0,180,10,0,0,37,0.62712
95,1,0,-10,0,1,105,1.7797
96,0.5,0,-10,0,1,45,0.76271
97,1,180,-10,180,1,38,0.64407
98,0,180,10,0,0,88,1.4915
99,0.5,0,-10,180,0,58,0.98305
100,0,0,10,0,1,78,1.322
101,0.5,180,10,0,0,51,0.86441
102,1,0,10,0,1,39,0.66102
103,0,0,10,0,1,51,0.86441
104,1,180,-10,180,1,66,1.1186
105,0.5,180,-10,180,1,84,1.4237
106,0,180,10,0,0,62,1.0508
107,0,0,-10,180,0,64,1.0847
108,0,0,10,0,1,48,0.81356
109,1,0,-10,180,0,67,1.1356
110,0.5,0,10,0,1,47,0.79661
111,1,180,-10,180,1,49,0.83051
112,1,0,10,0,1,43,0.72881
113,0,0,-10,180,0,70,1.1864
114,0,180,-10,180,1,62,1.0508
115,1,180,-10,180,1,39,0.66102
116,0.5,180,-10,180,1,48,0.81356
117,0.5,0,10,0,1,46,0.77966
118,0.5,0,-10,180,0,57,0.9661
119,1,0,-10,180,0,54,0.91525
120,0,180,-10,180,1,62,1.0508
121,1,0,-10,180,0,59,1
122,0.5,0,10,0,1,54,0.91525
123,0,180,-10,180,1,76,1.2881
124,0.5,180,-10,180,1,59,1
125,0.5,180,10,0,0,74,1.2542
126,0,180,-10,180,1,84,1.4237
127,0,180,-10,180,1,55,0.9322
128,1,180,-10,180,1,61,1.0339
129,0,0,-10,0,1,68,1.1525
130,0.5,180,10,0,0,67,1.1356
131,0,0,-10,180,0,57,0.9661
132,1,180,10,0,0,66,1.1186
133,1,180,10,0,0,60,1.0169
134,1,0,10,0,1,49,0.83051
135,1,0,10,0,1,45,0.76271
136,0.5,0,10,0,1,41,0.69492
137,0.5,0,10,0,1,63,1.0678
138,1,0,10,0,1,49,0.83051
139,0.5,0,10,0,1,51,0.86441
140,0.5,180,10,0,0,93,1.5763
141,0.5,0,10,0,1,59,1
142,0.5,0,10,0,1,48,0.81356
143,0,0,10,0,1,64,1.0847
144,1,180,10,180,1,115,1.9492
145,1,180,10,180,1,116,1.9661
146,0,180,10,0,0,72,1.2203
147,0.5,0,10,0,1,47,0.79661
148,0,0,-10,180,0,48,0.81356
149,0.5,180,10,0,0,58,0.98305
150,1,0,-10,180,0,53,0.89831
151,0,180,10,0,0,60,1.0169
152,1,180,10,180,1,111,1.8814
153,1,180,-10,180,1,47,0.79661
154,0.5,0,-10,180,0,57,0.9661
155,1,0,-10,0,1,101,1.7119
156,1,180,-10,180,1,67,1.1356
157,0.5,180,10,0,0,103,1.7458
158,1,0,-10,180,0,69,1.1695
159,0,0,10,0,1,78,1.322
160,0.5,0,-10,180,0,61,1.0339
161,1,180,10,180,1,116,1.9661
162,0.5,180,10,180,1,83,1.4068
163,1,0,10,0,1,53,0.89831
164,0.5,0,10,0,1,50,0.84746
165,0.5,180,10,0,0,58,0.98305
166,0,0,10,0,1,44,0.74576
167,0,0,-10,0,1,36,0.61017
168,1,180,-10,180,1,73,1.2373
169,0,0,-10,180,0,56,0.94915
170,0,0,-10,0,1,39,0.66102
171,1,0,10,0,1,45,0.76271
172,1,0,10,0,1,41,0.69492
173,0.5,0,10,0,1,47,0.79661
174,0,180,10,0,0,50,0.84746
175,0,0,10,0,1,85,1.4407
176,1,0,-10,0,1,118,2
177,0,180,10,180,1,81,1.3729
178,0,180,10,0,0,99,1.678
179,0.5,180,-10,180,1,54,0.91525
180,1,0,10,0,1,49,0.83051
181,1,180,-10,180,1,43,0.72881
182,0.5,180,-10,180,1,74,1.2542
183,1,0,10,0,1,52,0.88136
184,0,180,-10,180,1,63,1.0678
185,1,0,-10,180,0,29,0.49153
186,0.5,180,10,0,0,79,1.339
187,1,0,-10,0,1,59,1
188,0,180,-10,180,1,77,1.3051
189,0,0,-10,180,0,68,1.1525
190,1,0,-10,0,1,74,1.2542
191,0.5,0,10,0,1,53,0.89831
192,0.5,180,-10,180,1,53,0.89831
193,1,180,10,180,1,101,1.7119
194,0,0,10,0,1,112,1.8983
195,1,180,10,180,1,95,1.6102
196,1,180,-10,180,1,55,0.9322
197,0,180,10,180,1,83,1.4068
198,0,0,-10,0,1,56,0.94915
199,1,0,10,0,1,51,0.86441
200,0.5,180,10,180,1,100,1.6949
201,0,0,-10,0,1,84,1.4237
202,0,0,-10,0,1,115,1.9492
203,0,0,10,0,1,85,1.4407
204,0,0,-10,180,0,58,0.98305
205,0.5,180,-10,180,1,60,1.0169
206,0,0,-10,180,0,86,1.4576
207,0,0,-10,180,0,77,1.3051
208,0,180,10,0,0,70,1.1864
209,0,180,10,0,0,88,1.4915
210,0.5,0,-10,180,0,90,1.5254
211,1,0,-10,0,1,112,1.8983
212,0.5,0,-10,180,0,115,1.9492
213,0,180,-10,0,0,81,1.3729
214,1,0,-10,0,1,50,0.84746
215,0.5,180,-10,180,1,71,1.2034
216,0,0,10,180,0,60,1.0169
217,0,180,-10,180,1,87,1.4746
218,0.5,180,-10,180,1,51,0.86441
219,0.5,180,-10,180,1,47,0.79661
220,0,180,-10,0,0,57,0.9661
221,0,180,-10,0,0,39,0.66102
222,0.5,180,10,0,0,116,1.9661
223,1,180,10,180,1,60,1.0169
224,0.5,180,-10,180,1,51,0.86441
225,0,0,-10,0,1,56,0.94915
226,0.5,180,-10,180,1,51,0.86441
227,0,0,10,180,0,72,1.2203
228,0.5,180,-10,180,1,74,1.2542
229,0,180,-10,0,0,92,1.5593
230,1,180,10,180,1,70,1.1864
231,0,180,10,180,1,51,0.86441
232,1,180,-10,180,1,78,1.322
233,0,0,-10,0,1,84,1.4237
234,0,0,-10,0,1,94,1.5932
235,0.5,0,-10,0,1,75,1.2712
236,0.5,0,10,0,1,103,1.7458
237,0.5,0,10,0,1,60,1.0169
238,0,0,10,0,1,89,1.5085
239,0.5,0,-10,180,0,78,1.322
240,1,180,10,180,1,78,1.322
241,1,0,-10,0,1,62,1.0508
242,1,180,10,180,1,80,1.3559
243,1,180,10,180,1,70,1.1864
244,0.5,0,-10,0,1,108,1.8305
245,0,180,-10,0,0,55,0.9322
246,1,0,-10,0,1,86,1.4576
247,0.5,180,-10,180,1,54,0.91525
248,0.5,180,-10,180,1,52,0.88136
249,0.5,180,-10,180,1,51,0.86441
250,0.5,0,10,0,1,62,1.0508
251,0.5,0,-10,180,0,77,1.3051
252,1,0,-10,0,1,53,0.89831
253,0.5,0,10,0,1,44,0.74576
254,0,180,-10,180,1,102,1.7288
255,1,0,-10,0,1,58,0.98305
256,0.5,0,-10,0,1,81,1.3729
257,0,180,-10,0,0,88,1.4915
258,1,0,10,0,1,50,0.84746
259,0.5,180,10,0,0,87,1.4746
260,0,0,10,0,1,64,1.0847
261,0,180,10,0,0,75,1.2712
262,0,180,-10,180,1,51,0.86441
263,1,0,10,0,1,45,0.76271
264,0.5,0,-10,180,0,90,1.5254
265,0.5,180,-10,180,1,98,1.661
266,0.5,0,10,0,1,51,0.86441
267,0,0,10,0,1,82,1.3898
268,1,0,10,0,1,56,0.94915
269,0,180,10,180,1,56,0.94915
270,0.5,0,-10,180,0,85,1.4407
271,0.5,0,-10,180,0,93,1.5763
272,1,0,-10,0,1,92,1.5593
273,1,0,-10,0,1,88,1.4915
274,1,180,10,180,1,115,1.9492
275,1,0,10,0,1,63,1.0678
276,1,180,-10,180,1,42,0.71186
277,1,180,10,180,1,122,2.0678
278,0,180,-10,0,0,47,0.79661
279,0.5,0,10,0,1,66,1.1186
280,0.5,180,10,0,0,98,1.661
281,0.5,180,10,0,0,86,1.4576
282,0,180,-10,180,1,80,1.3559
283,0.5,0,-10,180,0,63,1.0678
284,0.5,180,-10,180,1,49,0.83051
285,0,0,10,0,1,65,1.1017
286,1,180,10,180,1,71,1.2034
287,0,180,10,180,1,86,1.4576
288,1,180,-10,180,1,54,0.91525
289,0.5,0,-10,0,1,77,1.3051
290,0.5,180,10,0,0,92,1.5593
291,0.5,180,10,0,0,99,1.678
292,1,0,-10,0,1,70,1.1864
293,0,180,10,0,0,96,1.6271
294,0,180,-10,0,0,57,0.9661
295,1,0,10,0,1,45,0.76271
296,0,0,-10,0,1,51,0.86441
297,0,0,-10,180,0,77,1.3051
298,0,0,10,0,1,82,1.3898
299,0.5,180,-10,180,1,45,0.76271
300,0,180,10,0,0,54,0.91525
